binWidth,n_valid_features,median_rel_diff_vs_native,median_rel_diff_vs_resample_linear,spearman_corr_vs_native,spearman_corr_vs_resample_linear
5,75,0.14519796158369272,0.23467062237444367,0.9751351351351352,0.9530298719772404
10,75,0.20222202374310427,0.2123137001819588,0.9819630156472261,0.95425320056899
25,75,0.2332216166248243,0.17883614603767783,0.9783214793741108,0.9678805120910383
50,75,0.20581617864529095,0.24925833018336957,0.972773826458037,0.9746799431009958
