feature,family,short_feature,value,binWidth,method
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.0025323992508128,5,native_original
original_glszm_ZoneEntropy,glszm,ZoneEntropy,8.318598860413967,5,native_original
original_glszm_ZonePercentage,glszm,ZonePercentage,0.1454725383473528,5,native_original
original_glszm_ZoneVariance,glszm,ZoneVariance,159.0023022814568,5,native_original
original_ngtdm_Busyness,ngtdm,Busyness,1.2900958216531386,5,native_original
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0007602812065684,5,native_original
original_ngtdm_Complexity,ngtdm,Complexity,2918.7641368706923,5,native_original
original_ngtdm_Contrast,ngtdm,Contrast,0.2479850841287802,5,native_original
original_ngtdm_Strength,ngtdm,Strength,0.5938615200871864,5,native_original
original_glcm_Autocorrelation,glcm,Autocorrelation,1112.9075674324847,5,resample_linear
original_glcm_ClusterProminence,glcm,ClusterProminence,254041.90577345912,5,resample_linear
original_glcm_ClusterShade,glcm,ClusterShade,-449.1503247960589,5,resample_linear
original_glcm_ClusterTendency,glcm,ClusterTendency,309.4734674731579,5,resample_linear
original_glcm_Contrast,glcm,Contrast,9.459807167006309,5,resample_linear
original_glcm_Correlation,glcm,Correlation,0.9398862887819605,5,resample_linear
original_glcm_DifferenceAverage,glcm,DifferenceAverage,1.9185215765680024,5,resample_linear
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,2.436953705040077,5,resample_linear
original_glcm_DifferenceVariance,glcm,DifferenceVariance,5.510890045032517,5,resample_linear
original_glcm_Id,glcm,Id,0.5048433919892533,5,resample_linear
original_glcm_Idm,glcm,Idm,0.4468178646698071,5,resample_linear
original_glcm_Idmn,glcm,Idmn,0.9970761760199944,5,resample_linear
original_glcm_Idn,glcm,Idn,0.9683666564755627,5,resample_linear
original_glcm_Imc1,glcm,Imc1,-0.4039428368738295,5,resample_linear
original_glcm_Imc2,glcm,Imc2,0.9896248231005826,5,resample_linear
original_glcm_InverseVariance,glcm,InverseVariance,0.4123927383642253,5,resample_linear
original_glcm_JointAverage,glcm,JointAverage,32.21611946058739,5,resample_linear
original_glcm_JointEnergy,glcm,JointEnergy,0.0047776918946495,5,resample_linear
original_glcm_JointEntropy,glcm,JointEntropy,8.27406842504175,5,resample_linear
original_glcm_MCC,glcm,MCC,0.952423091877216,5,resample_linear
original_glcm_MaximumProbability,glcm,MaximumProbability,0.0112570807288755,5,resample_linear
original_glcm_SumAverage,glcm,SumAverage,64.43223892117477,5,resample_linear
original_glcm_SumEntropy,glcm,SumEntropy,6.142248077382385,5,resample_linear
original_glcm_SumSquares,glcm,SumSquares,79.73331866004104,5,resample_linear
original_gldm_DependenceEntropy,gldm,DependenceEntropy,8.72353562369838,5,resample_linear
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,6436.520039584364,5,resample_linear
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.106160647197499,5,resample_linear
original_gldm_DependenceVariance,gldm,DependenceVariance,10.901758475367592,5,resample_linear
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,1833.8659079663532,5,resample_linear
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,85.4407130658897,5,resample_linear
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,1102.058650832921,5,resample_linear
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,51.46960250700973,5,resample_linear
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,60201.113838033976,5,resample_linear
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,0.0660110995054208,5,resample_linear
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.0017528093073081,5,resample_linear
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.0632444891289575,5,resample_linear
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,62.05987258242209,5,resample_linear
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0002529017526129,5,resample_linear
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,1438.1835574430784,5,resample_linear
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.0299091009340791,5,resample_linear
