feature,family,short_feature,value,spacing_label,spacing_z,spacing_y,spacing_x,method
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.586800355325577,mild_z2,2.0,1.0,1.0,native_original
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,20.704940890205833,mild_z2,2.0,1.0,1.0,native_original
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.0327323362063336,mild_z2,2.0,1.0,1.0,native_original
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,16.81679389312977,mild_z2,2.0,1.0,1.0,native_original
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.1283724724666394,mild_z2,2.0,1.0,1.0,native_original
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,5.749198764640755,mild_z2,2.0,1.0,1.0,native_original
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,37.229007633587784,mild_z2,2.0,1.0,1.0,native_original
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,63002.30534351145,mild_z2,2.0,1.0,1.0,native_original
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,2073227.7709923664,mild_z2,2.0,1.0,1.0,native_original
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,2400.232267320061,mild_z2,2.0,1.0,1.0,native_original
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.0971847875423847,mild_z2,2.0,1.0,1.0,native_original
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,21.748091603053435,mild_z2,2.0,1.0,1.0,native_original
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.1660159664355224,mild_z2,2.0,1.0,1.0,native_original
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.4121020102836982,mild_z2,2.0,1.0,1.0,native_original
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,15.867735740185298,mild_z2,2.0,1.0,1.0,native_original
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.037983109452293,mild_z2,2.0,1.0,1.0,native_original
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.801185001517869,mild_z2,2.0,1.0,1.0,native_original
original_glszm_ZonePercentage,glszm,ZonePercentage,0.0108032327230743,mild_z2,2.0,1.0,1.0,native_original
original_glszm_ZoneVariance,glszm,ZoneVariance,54434.04731658994,mild_z2,2.0,1.0,1.0,native_original
original_ngtdm_Busyness,ngtdm,Busyness,25.022526338132504,mild_z2,2.0,1.0,1.0,native_original
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0007897913675166,mild_z2,2.0,1.0,1.0,native_original
original_ngtdm_Complexity,ngtdm,Complexity,26.94568433418289,mild_z2,2.0,1.0,1.0,native_original
original_ngtdm_Contrast,ngtdm,Contrast,0.0491961938079195,mild_z2,2.0,1.0,1.0,native_original
original_ngtdm_Strength,ngtdm,Strength,0.0272954048475106,mild_z2,2.0,1.0,1.0,native_original
original_glcm_Autocorrelation,glcm,Autocorrelation,34.91267555223764,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_ClusterProminence,glcm,ClusterProminence,348.76172169509266,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_ClusterShade,glcm,ClusterShade,0.3823292467070684,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_ClusterTendency,glcm,ClusterTendency,11.67349108551428,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_Contrast,glcm,Contrast,0.8255547870851264,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_Correlation,glcm,Correlation,0.867884033317856,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.5190221286664185,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.2612574578769082,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.5216433018863657,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_Id,glcm,Id,0.7894784720231711,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_Idm,glcm,Idm,0.7711422015086615,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_Idmn,glcm,Idmn,0.9920274234178288,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_Idn,glcm,Idn,0.9551090272298136,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_Imc1,glcm,Imc1,-0.4492095822889498,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_Imc2,glcm,Imc2,0.9491749714918029,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_InverseVariance,glcm,InverseVariance,0.2706322085470135,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_JointAverage,glcm,JointAverage,5.67456289440158,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_JointEnergy,glcm,JointEnergy,0.0705990036799277,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_JointEntropy,glcm,JointEntropy,4.422969574368621,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_MCC,glcm,MCC,0.8702652613701607,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_MaximumProbability,glcm,MaximumProbability,0.1445961337229467,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_SumAverage,glcm,SumAverage,11.349125788803162,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_SumEntropy,glcm,SumEntropy,3.5921984138039127,mild_z2,2.0,1.0,1.0,resample_nearest
original_glcm_SumSquares,glcm,SumSquares,3.124761468149851,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_DependenceEntropy,gldm,DependenceEntropy,6.801460758056764,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,2075.8487547418767,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.0855949511274071,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_DependenceVariance,gldm,DependenceVariance,32.83296856833584,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,3743.083621969322,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.193851224412078,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,35.28814118423223,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,293.47996041563584,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,10426.630710869207,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,13.729170198478563,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.0509695439658383,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.0082491557355209,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.2939901804103844,mild_z2,2.0,1.0,1.0,resample_nearest
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0005076422378324,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,1518.4409053027805,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.1496540944472149,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,3.378319092938215,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,35.11513644124269,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,10.947086247310567,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,390.92894615528337,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.5070571409042249,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.0550788234607977,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_RunEntropy,glrlm,RunEntropy,4.995963299799543,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,2959.1766689855167,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.2806350438735406,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_RunPercentage,glrlm,RunPercentage,0.417516715512757,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_RunVariance,glrlm,RunVariance,3.63543994546844,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.4350737558508006,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,15.28764108457636,mild_z2,2.0,1.0,1.0,resample_nearest
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.0260646153536868,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,16.81679389312977,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.1283724724666394,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,5.749198764640755,mild_z2,2.0,1.0,1.0,resample_nearest
