comparison,feature,family,short_feature,z2,z2.5,abs_diff,rel_diff,changed,z3,z3.5,z5,z5.5
z2_vs_z2.5,original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,3.378319092938215,3.378319092938215,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,35.11513644124269,35.11513644124269,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,10.947086247310567,10.947086247310567,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,390.92894615528337,390.92894615528337,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.5070571409042249,0.5070571409042249,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.0550788234607977,0.0550788234607977,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_RunEntropy,glrlm,RunEntropy,4.995963299799543,4.995963299799543,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,2959.1766689855167,2959.1766689855167,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.2806350438735406,0.2806350438735406,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_RunPercentage,glrlm,RunPercentage,0.417516715512757,0.417516715512757,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_RunVariance,glrlm,RunVariance,3.63543994546844,3.63543994546844,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.4350737558508006,0.4350737558508006,0.0,0.0,False,,,,
