feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,34.77402302890108
original_glcm_ClusterProminence,glcm,ClusterProminence,331.9646061550327
original_glcm_ClusterShade,glcm,ClusterShade,0.4490517879606183
original_glcm_ClusterTendency,glcm,ClusterTendency,11.377701616960877
original_glcm_Contrast,glcm,Contrast,1.1071013517776611
original_glcm_Correlation,glcm,Correlation,0.8226970488425251
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.65863758941458
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.2297812961193468
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.4903606832482552
original_glcm_Id,glcm,Id,0.7422598142597722
original_glcm_Idm,glcm,Idm,0.7155275815290181
original_glcm_Idmn,glcm,Idmn,0.9893341807985546
original_glcm_Idn,glcm,Idn,0.9434770376036146
original_glcm_Imc1,glcm,Imc1,-0.4421200225543962
original_glcm_Imc2,glcm,Imc2,0.9213821206073814
original_glcm_InverseVariance,glcm,InverseVariance,0.2961267830442944
original_glcm_JointAverage,glcm,JointAverage,5.675063765122371
original_glcm_JointEnergy,glcm,JointEnergy,0.06745280455398209
original_glcm_JointEntropy,glcm,JointEntropy,4.442234604650578
original_glcm_MCC,glcm,MCC,0.8258503036284888
original_glcm_MaximumProbability,glcm,MaximumProbability,0.12804223403415407
original_glcm_SumAverage,glcm,SumAverage,11.350127530244743
original_glcm_SumEntropy,glcm,SumEntropy,3.5992683304621402
original_glcm_SumSquares,glcm,SumSquares,3.1212007421846346
original_gldm_DependenceEntropy,gldm,DependenceEntropy,6.6667710832406595
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,4487.208230249052
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.09251212745854057
original_gldm_DependenceVariance,gldm,DependenceVariance,37.58826030123964
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,7486.167243938644
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.1938512244120774
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,35.28814118423223
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,368.6820880752103
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,13109.134999175325
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,17.225130296285474
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.050969543965838325
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.0064538483318520535
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.22979878804237555
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.00039447605615158826
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,2438.3348548959193
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.14859568538882187
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,3.4237743935262293
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,35.060940355489905
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,16.01282220155232
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,571.0124675404711
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.7493793407371643
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.056103157351801776
original_glrlm_RunEntropy,glrlm,RunEntropy,5.361896759243684
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,3723.5983398029075
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.23287405991977808
original_glrlm_RunPercentage,glrlm,RunPercentage,0.33861600629289895
original_glrlm_RunVariance,glrlm,RunVariance,5.0424035103298115
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.3880919765541612
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,13.646930859560976
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.024103318234021745
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,16.81679389312977
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.12837247246663946
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,5.749198764640755
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,37.229007633587784
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,1008036.8854961832
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,33171644.33587786
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,38403.71627712098
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.09718478754238476
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,21.748091603053435
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.1660159664355224
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.02575637564273114
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,0.9917334837615811
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.0023739443407683183
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.801185001517869
original_glszm_ZonePercentage,glszm,ZonePercentage,0.0027008081807685966
original_glszm_ZoneVariance,glszm,ZoneVariance,870944.757065439
original_ngtdm_Busyness,ngtdm,Busyness,17.47366507398846
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0011309919934732486
original_ngtdm_Complexity,ngtdm,Complexity,18.9482936162623
original_ngtdm_Contrast,ngtdm,Contrast,0.03469734191363193
original_ngtdm_Strength,ngtdm,Strength,0.03870123625856729
