expansion_factor_R,n_runs,median_time_seconds,max_time_seconds,median_peak_memory_mb,recommendation
1,3,1.2053103330545127,1.4676672499626875,2.83441162109375,no special warning
2,3,1.316726166754961,1.5768899167887866,4.325512886047363,no special warning
3,3,1.2708626249805093,1.630909999832511,6.0546064376831055,no special warning
5,3,1.3605395001359284,1.6562424581497908,9.537707328796387,no special warning
7,3,1.3600401668809354,1.7421935410238802,13.557628631591797,no special warning
