feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,42.73161238465758
original_glcm_ClusterProminence,glcm,ClusterProminence,417.4216443000079
original_glcm_ClusterShade,glcm,ClusterShade,-12.936353651391146
original_glcm_ClusterTendency,glcm,ClusterTendency,14.06137119520053
original_glcm_Contrast,glcm,Contrast,0.8094461033634862
original_glcm_Correlation,glcm,Correlation,0.8910605109199624
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.5127003449493184
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.119094234645715
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.4155181639541165
original_glcm_Id,glcm,Id,0.7912482286423218
original_glcm_Idm,glcm,Idm,0.7733244033667577
original_glcm_Idmn,glcm,Idmn,0.9904182979341634
original_glcm_Idn,glcm,Idn,0.9513938501218265
original_glcm_Imc1,glcm,Imc1,-0.513603778712739
original_glcm_Imc2,glcm,Imc2,0.9489604109625283
original_glcm_InverseVariance,glcm,InverseVariance,0.27060715625440357
original_glcm_JointAverage,glcm,JointAverage,6.278425719021366
original_glcm_JointEnergy,glcm,JointEnergy,0.07265984450358683
original_glcm_JointEntropy,glcm,JointEntropy,4.237247552013183
original_glcm_MCC,glcm,MCC,0.8949177677849212
original_glcm_MaximumProbability,glcm,MaximumProbability,0.12192094500750887
original_glcm_SumAverage,glcm,SumAverage,12.556851438042733
original_glcm_SumEntropy,glcm,SumEntropy,3.586163685352162
original_glcm_SumSquares,glcm,SumSquares,3.717704324641005
original_gldm_DependenceEntropy,gldm,DependenceEntropy,6.387439598127836
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,30820.10042918455
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.12247695290567695
original_gldm_DependenceVariance,gldm,DependenceVariance,37.994031775870745
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,36637.34501669051
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.756101651358157
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,43.17582657765061
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,425.7449690033381
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,19126.402213479574
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,15.977788549465595
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.03948277348903113
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.005295987634031173
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.2099164671121948
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0002629369080056985
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,10219.60310756134
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.14452922549349104
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,3.5764602756355117
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,40.546718274172115
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,27.393470746994254
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,1341.7080220906957
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.947180994982477
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.04274847121307643
original_glrlm_RunEntropy,glrlm,RunEntropy,5.605605434609919
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,13577.01618560523
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.2040686070156929
original_glrlm_RunPercentage,glrlm,RunPercentage,0.2811002897912769
original_glrlm_RunVariance,glrlm,RunVariance,10.450919904939436
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.3592698986206896
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,14.07253898540348
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.016626981876061542
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,45.43450479233227
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.14515816227582196
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,4.221621125049761
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,32.281150159744406
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,11736768.530351438
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,655138540.4952077
